Structures_of_the_Ear,"Figure 14.5 Structures of the Ear The external ear contains the auricle, ear canal, and tympanic membrane. The middle ear contains the ossicles and is connected to the pharynx by the Eustachian tube. The inner ear contains the cochlea and vestibule, which are responsible for audition and equilibrium, respectively.",https://openstax.org/books/anatomy-and-physiology-2e/pages/14-1-sensory-perception
Nails,Figure 5.13 Nails The nail is an accessory structure of the integumentary system.,https://openstax.org/books/anatomy-and-physiology-2e/pages/5-2-accessory-structures-of-the-skin?query=nails&target=%7B%22index%22%3A9%2C%22type%22%3A%22search%22%7D#fs-id1200286
Glenohumeral_Joint,Glenohumeral Joint The glenohumeral (shoulder) joint is a ball-and-socket joint that provides the widest range of motions. It has a loose articular capsule and is supported by ligaments and the rotator cuff muscles.,https://openstax.org/books/anatomy-and-physiology-2e/pages/9-6-anatomy-of-selected-synovial-joints?query=glenohumeral&target=%7B%22index%22%3A0%2C%22type%22%3A%22search%22%7D#fs-id2305343
Overview_of_the_Muscular_System,"Overview of the Muscular System On these anterior and posterior view of the muscular system above, superficial muscles (those at the surface) are shown on the right side of the body while deep muscles (those underneath the superficial muscles) are shown on the left half of the body. For the legs, superficial muscles are shown in the anterior view while the posterior view shows both superficial and deep muscles.",https://openstax.org/books/anatomy-and-physiology-2e/pages/11-2-naming-skeletal-muscles
Dual_System_of_the_Human_Blood_Circulation,"Dual System of the Human Blood Circulation Blood flows from the right atrium to the right ventricle, where it is pumped into the pulmonary circuit. The blood in the pulmonary artery branches is low in oxygen but relatively high in carbon dioxide. Gas exchange occurs in the pulmonary capillaries (oxygen into the blood, carbon dioxide out), and blood high in oxygen and low in carbon dioxide is returned to the left atrium. From here, blood enters the left ventricle, which pumps it into the systemic circuit. Following exchange in the systemic capillaries (oxygen and nutrients out of the capillaries and carbon dioxide and wastes in), blood returns to the right atrium and the cycle is repeated.",https://openstax.org/books/anatomy-and-physiology-2e/pages/19-1-heart-anatomy
Internal_Structures_of_the_Heart,"Internal Structures of the Heart This anterior view of the heart shows the four chambers, the major vessels and their early branches, as well as the valves. The presence of the pulmonary trunk and aorta covers the interatrial septum, and the atrioventricular septum is cut away to show the atrioventricular valves.",https://openstax.org/books/anatomy-and-physiology-2e/pages/19-1-heart-anatomy
Congenital_Heart_Defects,"Congenital Heart Defects (a) A patent foramen ovale defect is an abnormal opening in the interatrial septum, or more commonly, a failure of the foramen ovale to close. (b) Coarctation of the aorta is an abnormal narrowing of the aorta. (c) A patent ductus arteriosus is the failure of the ductus arteriosus to close. (d) Tetralogy of Fallot includes an abnormal opening in the interventricular septum.",https://openstax.org/books/anatomy-and-physiology-2e/pages/19-1-heart-anatomy
Thyroid_Gland,Thyroid Gland The thyroid gland is located in the neck where it wraps around the trachea. (a) Anterior view of the thyroid gland. (b) Posterior view of the thyroid gland. (c) The glandular tissue is composed primarily of thyroid follicles. The larger parafollicular cells often appear within the matrix of follicle cells. LM × 1332. (Micrograph provided by the Regents of University of Michigan Medical School © 2012),https://openstax.org/books/anatomy-and-physiology-2e/pages/17-4-the-thyroid-gland
Pancreas,"Exocrine and Endocrine Pancreas The pancreas has a head, a body, and a tail. It delivers pancreatic juice to the duodenum through the pancreatic duct.",https://openstax.org/books/anatomy-and-physiology-2e/pages/23-6-accessory-organs-in-digestion-the-liver-pancreas-and-gallbladder
Tonsils,Locations and Histology of the Tonsils (a) The pharyngeal tonsil is located on the roof of the posterior superior wall of the nasopharynx. The palatine tonsils lay on each side of the pharynx. (b) A micrograph shows the palatine tonsil tissue. LM × 40. (Micrograph provided by the Regents of the University of Michigan Medical School © 2012),https://openstax.org/books/anatomy-and-physiology-2e/pages/21-1-anatomy-of-the-lymphatic-and-immune-systems
Major_Respiratory_Structures,Major Respiratory Structures The major respiratory structures span the nasal cavity to the diaphragm.,https://openstax.org/books/anatomy-and-physiology-2e/pages/22-1-organs-and-structures-of-the-respiratory-system
